hm,Station Number,Day/Month/Year Hour24:Minutes in DD/MM/YYYY HH24:MI format in Local standard time,Mean sea level pressure in hPa,Quality of mean sea level pressure,Station level pressure in hPa,Quality of station level pressure,AWS Flag,#
hm, 14015,01/10/2014 12:00,1013.1,N,1009.2,N, 2,#
hm, 14015,01/10/2014 12:30,1012.3,N,1008.4,N, 2,#
hm, 14015,01/10/2014 13:00,1011.9,N,1008.0,N, 2,#
hm, 14015,01/10/2014 13:30,1011.3,N,1007.4,N, 2,#
hm, 14015,01/10/2014 14:00,1010.6,N,1006.7,N, 2,#
hm, 14015,01/10/2014 14:30,1010.1,N,1006.2,N, 2,#
hm, 14015,01/10/2014 15:00,1009.5,N,1005.6,N, 2,#
hm, 14015,01/10/2014 15:30,1008.9,N,1005.0,N, 2,#
hm, 14015,01/10/2014 16:00,1008.8,N,1004.9,N, 2,#
hm, 14015,01/10/2014 16:30,1008.6,N,1004.7,N, 2,#
hm, 14015,01/10/2014 17:00,1009.0,N,1005.1,N, 2,#
hm, 14015,01/10/2014 17:30,1009.1,N,1005.2,N, 2,#
hm, 14015,01/10/2014 18:00,1009.7,N,1005.7,N, 2,#
hm, 14015,01/10/2014 18:30,1010.0,N,1006.0,N, 2,#
hm, 14015,01/10/2014 19:00,1010.3,N,1006.3,N, 2,#
hm, 14015,01/10/2014 19:30,1010.8,N,1006.8,N, 2,#
hm, 14015,01/10/2014 20:00,1011.3,N,1007.3,N, 2,#
hm, 14015,01/10/2014 20:30,1011.8,N,1007.8,N, 2,#
hm, 14015,01/10/2014 21:00,1012.2,N,1008.2,N, 2,#
hm, 14015,01/10/2014 21:30,1012.4,N,1008.4,N, 2,#
hm, 14015,01/10/2014 22:00,1012.7,N,1008.7,N, 2,#
hm, 14015,01/10/2014 22:30,1012.8,N,1008.8,N, 2,#
hm, 14015,01/10/2014 23:00,1013.0,N,1009.0,N, 2,#
hm, 14015,01/10/2014 23:30,1012.9,N,1008.9,N, 2,#
hm, 14015,02/10/2014 00:00,1013.0,N,1009.0,N, 2,#
hm, 14015,02/10/2014 00:30,1013.0,N,1009.0,N, 2,#
hm, 14015,02/10/2014 01:00,1012.9,N,1008.9,N, 2,#
hm, 14015,02/10/2014 01:30,1012.6,N,1008.6,N, 2,#
hm, 14015,02/10/2014 02:00,1012.3,N,1008.3,N, 2,#
hm, 14015,02/10/2014 02:30,1011.8,N,1007.8,N, 2,#
hm, 14015,02/10/2014 03:00,1011.6,N,1007.6,N, 2,#
hm, 14015,02/10/2014 03:30,1011.3,N,1007.3,N, 2,#
hm, 14015,02/10/2014 04:00,1011.3,N,1007.3,N, 2,#
hm, 14015,02/10/2014 04:30,1011.3,N,1007.3,N, 2,#
hm, 14015,02/10/2014 05:00,1011.4,N,1007.4,N, 2,#
hm, 14015,02/10/2014 05:30,1011.6,N,1007.6,N, 2,#
hm, 14015,02/10/2014 06:00,1012.2,N,1008.1,N, 2,#
hm, 14015,02/10/2014 06:30,1012.4,N,1008.4,N, 2,#
hm, 14015,02/10/2014 07:00,1013.1,N,1009.1,N, 2,#
hm, 14015,02/10/2014 07:30,1013.4,N,1009.4,N, 2,#
hm, 14015,02/10/2014 08:00,1013.8,N,1009.8,N, 2,#
hm, 14015,02/10/2014 08:30,1014.1,N,1010.1,N, 2,#
hm, 14015,02/10/2014 09:00,1014.2,N,1010.2,N, 2,#
hm, 14015,02/10/2014 09:30,1014.1,N,1010.1,N, 2,#
hm, 14015,02/10/2014 10:00,1014.1,N,1010.1,N, 2,#
hm, 14015,02/10/2014 10:30,1013.9,N,1009.9,N, 2,#
hm, 14015,02/10/2014 11:00,1013.3,N,1009.3,N, 2,#
hm, 14015,02/10/2014 11:30,1012.8,N,1008.9,N, 2,#
hm, 14015,02/10/2014 12:00,1012.1,N,1008.2,N, 2,#
hm, 14015,02/10/2014 12:30,1011.4,N,1007.5,N, 2,#
hm, 14015,02/10/2014 13:00,1010.8,N,1006.9,N, 2,#
hm, 14015,02/10/2014 13:30,1010.2,N,1006.3,N, 2,#
hm, 14015,02/10/2014 14:00,1009.8,N,1005.9,N, 2,#
hm, 14015,02/10/2014 14:30,1009.7,N,1005.8,N, 2,#
hm, 14015,02/10/2014 15:00,1009.4,N,1005.5,N, 2,#
hm, 14015,02/10/2014 15:30,1009.1,N,1005.2,N, 2,#
hm, 14015,02/10/2014 16:00,1009.2,N,1005.3,N, 2,#
hm, 14015,02/10/2014 16:30,1009.2,N,1005.3,N, 2,#
hm, 14015,02/10/2014 17:00,1009.3,N,1005.3,N, 2,#
hm, 14015,02/10/2014 17:30,1009.5,N,1005.5,N, 2,#
hm, 14015,02/10/2014 18:00,1010.1,N,1006.1,N, 2,#
hm, 14015,02/10/2014 18:30,1010.5,N,1006.5,N, 2,#
hm, 14015,02/10/2014 19:00,1010.9,N,1006.9,N, 2,#
hm, 14015,02/10/2014 19:30,1011.3,N,1007.3,N, 2,#
hm, 14015,02/10/2014 20:00,1011.7,N,1007.7,N, 2,#
hm, 14015,02/10/2014 20:30,1011.9,N,1007.9,N, 2,#
hm, 14015,02/10/2014 21:00,1012.0,N,1008.0,N, 2,#
hm, 14015,02/10/2014 21:30,1012.2,N,1008.2,N, 2,#
hm, 14015,02/10/2014 22:00,1012.4,N,1008.4,N, 2,#
hm, 14015,02/10/2014 22:30,1012.6,N,1008.6,N, 2,#
hm, 14015,02/10/2014 23:00,1012.4,N,1008.4,N, 2,#
hm, 14015,02/10/2014 23:30,1012.3,N,1008.3,N, 2,#
hm, 14015,03/10/2014 00:00,1012.3,N,1008.3,N, 2,#
hm, 14015,03/10/2014 00:30,1012.2,N,1008.2,N, 2,#
hm, 14015,03/10/2014 01:00,1011.9,N,1007.9,N, 2,#
hm, 14015,03/10/2014 01:30,1011.7,N,1007.7,N, 2,#
hm, 14015,03/10/2014 02:00,1011.5,N,1007.5,N, 2,#
hm, 14015,03/10/2014 02:30,1011.2,N,1007.2,N, 2,#
hm, 14015,03/10/2014 03:00,1011.1,N,1007.1,N, 2,#
hm, 14015,03/10/2014 03:30,1010.9,N,1006.9,N, 2,#
hm, 14015,03/10/2014 04:00,1010.8,N,1006.8,N, 2,#
hm, 14015,03/10/2014 04:30,1010.5,N,1006.5,N, 2,#
hm, 14015,03/10/2014 05:00,1010.7,N,1006.7,N, 2,#
hm, 14015,03/10/2014 05:30,1010.9,N,1006.9,N, 2,#
hm, 14015,03/10/2014 06:00,1011.1,N,1007.1,N, 2,#
hm, 14015,03/10/2014 06:30,1011.4,N,1007.4,N, 2,#
hm, 14015,03/10/2014 07:00,1011.8,N,1007.8,N, 2,#
hm, 14015,03/10/2014 07:30,1012.4,N,1008.4,N, 2,#
hm, 14015,03/10/2014 08:00,1012.9,N,1008.9,N, 2,#
hm, 14015,03/10/2014 08:30,1013.1,N,1009.1,N, 2,#
hm, 14015,03/10/2014 09:00,1013.3,N,1009.3,N, 2,#
hm, 14015,03/10/2014 09:30,1013.3,N,1009.3,N, 2,#
hm, 14015,03/10/2014 10:00,1013.0,N,1009.1,N, 2,#
hm, 14015,03/10/2014 10:30,1012.6,N,1008.7,N, 2,#
hm, 14015,03/10/2014 11:00,1012.2,N,1008.3,N, 2,#
hm, 14015,03/10/2014 11:30,1011.7,N,1007.8,N, 2,#
hm, 14015,03/10/2014 12:00,1011.1,N,1007.2,N, 2,#
hm, 14015,03/10/2014 12:30,1010.5,N,1006.6,N, 2,#
hm, 14015,03/10/2014 13:00,1009.9,N,1006.0,N, 2,#
hm, 14015,03/10/2014 13:30,1009.1,N,1005.2,N, 2,#
hm, 14015,03/10/2014 14:00,1008.7,N,1004.8,N, 2,#
hm, 14015,03/10/2014 14:30,1008.2,N,1004.3,N, 2,#
hm, 14015,03/10/2014 15:00,1008.1,N,1004.2,N, 2,#
hm, 14015,03/10/2014 15:30,1008.0,N,1004.1,N, 2,#
hm, 14015,03/10/2014 16:00,1007.8,N,1003.9,N, 2,#
hm, 14015,03/10/2014 16:30,1007.9,N,1004.0,N, 2,#
hm, 14015,03/10/2014 17:00,1007.9,N,1004.0,N, 2,#
hm, 14015,03/10/2014 17:30,1008.0,N,1004.1,N, 2,#
hm, 14015,03/10/2014 18:00,1008.2,N,1004.2,N, 2,#
hm, 14015,03/10/2014 18:30,1008.4,N,1004.4,N, 2,#
hm, 14015,03/10/2014 19:00,1008.9,N,1004.9,N, 2,#
hm, 14015,03/10/2014 19:30,1009.3,N,1005.3,N, 2,#
hm, 14015,03/10/2014 20:00,1009.6,N,1005.6,N, 2,#
hm, 14015,03/10/2014 20:30,1009.8,N,1005.8,N, 2,#
hm, 14015,03/10/2014 21:00,1010.1,N,1006.1,N, 2,#
hm, 14015,03/10/2014 21:30,1010.5,N,1006.5,N, 2,#
hm, 14015,03/10/2014 22:00,1010.7,N,1006.7,N, 2,#
hm, 14015,03/10/2014 22:30,1011.1,N,1007.1,N, 2,#
hm, 14015,03/10/2014 23:00,1011.2,N,1007.2,N, 2,#
hm, 14015,03/10/2014 23:30,1011.4,N,1007.4,N, 2,#
hm, 14015,04/10/2014 00:00,1011.7,N,1007.7,N, 2,#
hm, 14015,04/10/2014 00:30,1011.8,N,1007.8,N, 2,#
hm, 14015,04/10/2014 01:00,1011.6,N,1007.6,N, 2,#
hm, 14015,04/10/2014 01:30,1011.6,N,1007.6,N, 2,#
hm, 14015,04/10/2014 02:00,1011.4,N,1007.4,N, 1,#
hm, 14015,04/10/2014 02:30,1011.5,N,1007.5,N, 2,#
hm, 14015,04/10/2014 03:00,1011.3,N,1007.3,N, 2,#
hm, 14015,04/10/2014 03:30,1011.0,N,1007.0,N, 1,#
hm, 14015,04/10/2014 04:00,1010.9,N,1006.9,N, 2,#
hm, 14015,04/10/2014 04:30,1010.9,N,1006.9,N, 2,#
hm, 14015,04/10/2014 05:00,1011.0,N,1007.0,N, 2,#
hm, 14015,04/10/2014 05:30,1011.4,N,1007.4,N, 2,#
hm, 14015,04/10/2014 06:00,1011.5,N,1007.5,N, 2,#
hm, 14015,04/10/2014 06:30,1012.0,N,1007.9,N, 2,#
hm, 14015,04/10/2014 07:00,1012.3,N,1008.3,N, 2,#
hm, 14015,04/10/2014 07:30,1012.8,N,1008.8,N, 2,#
hm, 14015,04/10/2014 08:00,1013.2,N,1009.2,N, 2,#
hm, 14015,04/10/2014 08:30,1013.4,N,1009.4,N, 2,#
hm, 14015,04/10/2014 09:00,1013.4,N,1009.4,N, 2,#
hm, 14015,04/10/2014 09:30,1013.9,N,1009.9,N, 2,#
hm, 14015,04/10/2014 10:00,1013.7,N,1009.7,N, 2,#
hm, 14015,04/10/2014 10:30,1013.1,N,1009.2,N, 2,#
hm, 14015,04/10/2014 11:00,1012.7,N,1008.8,N, 2,#
hm, 14015,04/10/2014 11:30,1012.0,N,1008.1,N, 2,#
hm, 14015,04/10/2014 12:00,1011.4,N,1007.5,N, 2,#
hm, 14015,04/10/2014 12:30,1010.7,N,1006.8,N, 2,#
hm, 14015,04/10/2014 13:00,1010.2,N,1006.3,N, 2,#
hm, 14015,04/10/2014 13:30,1009.8,N,1005.9,N, 2,#
hm, 14015,04/10/2014 14:00,1009.3,N,1005.4,N, 2,#
hm, 14015,04/10/2014 14:30,1008.7,N,1004.8,N, 2,#
hm, 14015,04/10/2014 15:00,1008.4,N,1004.5,N, 2,#
hm, 14015,04/10/2014 15:30,1008.2,N,1004.3,N, 2,#
hm, 14015,04/10/2014 16:00,1008.0,N,1004.1,N, 2,#
hm, 14015,04/10/2014 17:00,1008.0,N,1004.1,N, 2,#
hm, 14015,04/10/2014 17:30,1008.2,N,1004.3,N, 2,#
hm, 14015,04/10/2014 18:00,1008.4,N,1004.5,N, 2,#
hm, 14015,04/10/2014 18:30,1008.8,N,1004.9,N, 2,#
hm, 14015,04/10/2014 19:00,1009.5,N,1005.5,N, 2,#
hm, 14015,04/10/2014 19:30,1010.1,N,1006.1,N, 2,#
hm, 14015,04/10/2014 20:00,1010.6,N,1006.6,N, 2,#
hm, 14015,04/10/2014 20:30,1011.4,N,1007.4,N, 2,#
hm, 14015,04/10/2014 21:00,1011.7,N,1007.7,N, 2,#
hm, 14015,04/10/2014 21:30,1011.9,N,1007.9,N, 2,#
hm, 14015,04/10/2014 22:00,1012.2,N,1008.2,N, 2,#
hm, 14015,04/10/2014 22:30,1012.4,N,1008.4,N, 2,#
hm, 14015,04/10/2014 23:00,1012.4,N,1008.4,N, 2,#
hm, 14015,04/10/2014 23:30,1012.5,N,1008.5,N, 2,#
hm, 14015,05/10/2014 00:00,1012.4,N,1008.4,N, 2,#
hm, 14015,05/10/2014 00:30,1012.1,N,1008.1,N, 2,#
hm, 14015,05/10/2014 01:00,1011.9,N,1007.9,N, 2,#
hm, 14015,05/10/2014 01:30,1011.9,N,1007.9,N, 2,#
hm, 14015,05/10/2014 02:00,1011.7,N,1007.7,N, 2,#
hm, 14015,05/10/2014 02:30,1011.4,N,1007.4,N, 2,#
hm, 14015,05/10/2014 03:00,1011.3,N,1007.3,N, 2,#
hm, 14015,05/10/2014 03:30,1011.2,N,1007.2,N, 2,#
hm, 14015,05/10/2014 04:00,1011.2,N,1007.2,N, 2,#
hm, 14015,05/10/2014 04:30,1011.1,N,1007.1,N, 2,#
hm, 14015,05/10/2014 05:00,1011.0,N,1007.0,N, 2,#
hm, 14015,05/10/2014 05:30,1011.2,N,1007.2,N, 2,#
hm, 14015,05/10/2014 06:00,1011.7,N,1007.7,N, 2,#
hm, 14015,05/10/2014 06:30,1012.1,N,1008.1,N, 2,#
hm, 14015,05/10/2014 07:00,1012.4,N,1008.4,N, 2,#
hm, 14015,05/10/2014 07:30,1013.0,N,1009.0,N, 2,#
hm, 14015,05/10/2014 08:00,1013.5,N,1009.5,N, 2,#
hm, 14015,05/10/2014 08:30,1013.9,N,1009.9,N, 2,#
hm, 14015,05/10/2014 09:00,1014.1,N,1010.1,N, 2,#
hm, 14015,05/10/2014 09:30,1014.2,N,1010.2,N, 2,#
hm, 14015,05/10/2014 10:00,1013.8,N,1009.9,N, 2,#
hm, 14015,05/10/2014 10:30,1013.6,N,1009.7,N, 2,#
hm, 14015,05/10/2014 11:00,1013.3,N,1009.4,N, 2,#
hm, 14015,05/10/2014 11:30,1013.0,N,1009.1,N, 2,#
hm, 14015,05/10/2014 12:00,1012.6,N,1008.7,N, 2,#
hm, 14015,05/10/2014 12:30,1011.9,N,1008.0,N, 2,#
hm, 14015,05/10/2014 13:00,1011.3,N,1007.4,N, 2,#
hm, 14015,05/10/2014 13:30,1010.9,N,1007.0,N, 2,#
hm, 14015,05/10/2014 14:00,1010.4,N,1006.5,N, 2,#
hm, 14015,05/10/2014 14:30,1009.9,N,1006.0,N, 2,#
hm, 14015,05/10/2014 15:00,1009.4,N,1005.5,N, 2,#
hm, 14015,05/10/2014 15:30,1008.9,N,1005.0,N, 2,#
hm, 14015,05/10/2014 16:00,1008.5,N,1004.6,N, 2,#
hm, 14015,05/10/2014 16:30,1008.3,N,1004.4,N, 2,#
hm, 14015,05/10/2014 17:00,1008.3,N,1004.4,N, 2,#
hm, 14015,05/10/2014 17:30,1008.6,N,1004.7,N, 2,#
hm, 14015,05/10/2014 18:00,1008.9,N,1005.0,N, 2,#
hm, 14015,05/10/2014 18:30,1009.2,N,1005.3,N, 2,#
hm, 14015,05/10/2014 19:00,1009.8,N,1005.8,N, 2,#
hm, 14015,05/10/2014 19:30,1010.0,N,1006.0,N, 2,#
hm, 14015,05/10/2014 20:00,1010.4,N,1006.4,N, 2,#
hm, 14015,05/10/2014 20:30,1010.7,N,1006.7,N, 2,#
hm, 14015,05/10/2014 21:00,1011.1,N,1007.1,N, 2,#
hm, 14015,05/10/2014 21:30,1011.4,N,1007.4,N, 2,#
hm, 14015,05/10/2014 22:00,1011.7,N,1007.7,N, 2,#
hm, 14015,05/10/2014 22:30,1012.0,N,1008.0,N, 2,#
hm, 14015,05/10/2014 23:00,1012.1,N,1008.1,N, 2,#
hm, 14015,05/10/2014 23:30,1012.3,N,1008.3,N, 2,#
hm, 14015,06/10/2014 00:00,1012.2,N,1008.2,N, 2,#
hm, 14015,06/10/2014 00:30,1012.1,N,1008.1,N, 2,#
hm, 14015,06/10/2014 01:00,1011.9,N,1007.9,N, 2,#
hm, 14015,06/10/2014 01:30,1011.5,N,1007.5,N, 2,#
hm, 14015,06/10/2014 02:00,1011.3,N,1007.3,N, 2,#
hm, 14015,06/10/2014 02:30,1011.2,N,1007.2,N, 2,#
hm, 14015,06/10/2014 03:00,1011.1,N,1007.1,N, 2,#
hm, 14015,06/10/2014 03:30,1011.1,N,1007.1,N, 2,#
hm, 14015,06/10/2014 04:00,1011.3,N,1007.3,N, 2,#
hm, 14015,06/10/2014 04:30,1011.5,N,1007.5,N, 2,#
hm, 14015,06/10/2014 05:00,1011.6,N,1007.6,N, 2,#
hm, 14015,06/10/2014 05:30,1011.7,N,1007.7,N, 2,#
hm, 14015,06/10/2014 06:00,1012.1,N,1008.1,N, 2,#
hm, 14015,06/10/2014 06:30,1012.4,N,1008.4,N, 2,#
hm, 14015,06/10/2014 07:00,1012.6,N,1008.6,N, 2,#
hm, 14015,06/10/2014 07:30,1012.9,N,1008.9,N, 2,#
hm, 14015,06/10/2014 08:00,1013.2,N,1009.2,N, 2,#
hm, 14015,06/10/2014 08:30,1013.6,N,1009.6,N, 2,#
hm, 14015,06/10/2014 09:00,1013.9,N,1009.9,N, 2,#
hm, 14015,06/10/2014 09:30,1013.8,N,1009.8,N, 2,#
hm, 14015,06/10/2014 10:00,1013.7,N,1009.8,N, 2,#
hm, 14015,06/10/2014 10:30,1013.6,N,1009.7,N, 2,#
hm, 14015,06/10/2014 11:00,1013.3,N,1009.4,N, 2,#
hm, 14015,06/10/2014 11:30,1012.9,N,1009.0,N, 2,#
hm, 14015,06/10/2014 12:00,1012.6,N,1008.7,N, 2,#
hm, 14015,06/10/2014 12:30,1012.0,N,1008.1,N, 2,#
hm, 14015,06/10/2014 13:00,1011.9,N,1008.0,N, 2,#
hm, 14015,06/10/2014 13:30,1011.4,N,1007.5,N, 2,#
hm, 14015,06/10/2014 14:00,1010.7,N,1006.8,N, 2,#
hm, 14015,06/10/2014 14:30,1010.2,N,1006.3,N, 2,#
hm, 14015,06/10/2014 15:00,1009.8,N,1005.9,N, 2,#
hm, 14015,06/10/2014 15:30,1009.1,N,1005.2,N, 2,#
hm, 14015,06/10/2014 16:00,1008.5,N,1004.6,N, 2,#
hm, 14015,06/10/2014 16:30,1008.3,N,1004.4,N, 2,#
hm, 14015,06/10/2014 17:00,1008.1,N,1004.2,N, 2,#
hm, 14015,06/10/2014 17:30,1008.2,N,1004.3,N, 2,#
hm, 14015,06/10/2014 18:00,1008.3,N,1004.4,N, 2,#
hm, 14015,06/10/2014 18:30,1008.7,N,1004.8,N, 2,#
hm, 14015,06/10/2014 19:00,1009.3,N,1005.3,N, 2,#
hm, 14015,06/10/2014 19:30,1009.6,N,1005.6,N, 2,#
hm, 14015,06/10/2014 20:00,1010.0,N,1006.0,N, 2,#
hm, 14015,06/10/2014 20:30,1010.3,N,1006.3,N, 2,#
hm, 14015,06/10/2014 21:00,1010.7,N,1006.7,N, 2,#
hm, 14015,06/10/2014 21:30,1010.9,N,1006.9,N, 2,#
hm, 14015,06/10/2014 22:00,1011.4,N,1007.4,N, 2,#
hm, 14015,06/10/2014 22:30,1011.7,N,1007.7,N, 2,#
hm, 14015,06/10/2014 23:00,1011.9,N,1007.9,N, 2,#
hm, 14015,06/10/2014 23:30,1011.9,N,1007.9,N, 2,#
hm, 14015,07/10/2014 00:00,1011.8,N,1007.8,N, 2,#
hm, 14015,07/10/2014 00:30,1011.6,N,1007.6,N, 2,#
hm, 14015,07/10/2014 01:00,1011.4,N,1007.4,N, 2,#
hm, 14015,07/10/2014 01:30,1011.0,N,1007.0,N, 2,#
hm, 14015,07/10/2014 02:00,1010.8,N,1006.8,N, 2,#
hm, 14015,07/10/2014 02:30,1010.5,N,1006.5,N, 2,#
hm, 14015,07/10/2014 03:00,1010.5,N,1006.5,N, 2,#
hm, 14015,07/10/2014 03:30,1010.4,N,1006.4,N, 2,#
hm, 14015,07/10/2014 04:00,1010.3,N,1006.3,N, 2,#
hm, 14015,07/10/2014 04:30,1010.5,N,1006.5,N, 2,#
hm, 14015,07/10/2014 05:00,1010.6,N,1006.6,N, 2,#
hm, 14015,07/10/2014 05:30,1011.0,N,1007.0,N, 2,#
hm, 14015,07/10/2014 06:00,1011.2,N,1007.2,N, 2,#
hm, 14015,07/10/2014 06:30,1011.4,N,1007.4,N, 2,#
hm, 14015,07/10/2014 07:00,1011.6,N,1007.6,N, 2,#
hm, 14015,07/10/2014 07:30,1011.9,N,1007.9,N, 2,#
hm, 14015,07/10/2014 08:00,1012.4,N,1008.4,N, 2,#
hm, 14015,07/10/2014 08:30,1012.7,N,1008.7,N, 2,#
hm, 14015,07/10/2014 09:00,1013.0,N,1009.0,N, 2,#
hm, 14015,07/10/2014 09:30,1013.0,N,1009.0,N, 2,#
hm, 14015,07/10/2014 10:00,1013.1,N,1009.1,N, 2,#
hm, 14015,07/10/2014 10:30,1013.0,N,1009.1,N, 2,#
hm, 14015,07/10/2014 11:00,1012.8,N,1008.9,N, 2,#
hm, 14015,07/10/2014 11:30,1012.6,N,1008.7,N, 2,#
hm, 14015,07/10/2014 12:00,1012.1,N,1008.2,N, 2,#
hm, 14015,07/10/2014 12:30,1011.5,N,1007.6,N, 2,#
hm, 14015,07/10/2014 13:00,1010.8,N,1006.9,N, 2,#
hm, 14015,07/10/2014 13:30,1010.2,N,1006.3,N, 2,#
hm, 14015,07/10/2014 14:00,1009.7,N,1005.8,N, 2,#
hm, 14015,07/10/2014 14:30,1009.1,N,1005.2,N, 2,#
hm, 14015,07/10/2014 15:00,1008.7,N,1004.8,N, 2,#
hm, 14015,07/10/2014 15:30,1008.4,N,1004.5,N, 2,#
hm, 14015,07/10/2014 16:00,1008.2,N,1004.3,N, 2,#
hm, 14015,07/10/2014 16:30,1008.3,N,1004.4,N, 2,#
hm, 14015,07/10/2014 17:00,1008.4,N,1004.5,N, 2,#
hm, 14015,07/10/2014 17:30,1008.6,N,1004.7,N, 2,#
hm, 14015,07/10/2014 18:00,1008.8,N,1004.9,N, 2,#
hm, 14015,07/10/2014 18:30,1009.0,N,1005.1,N, 2,#
hm, 14015,07/10/2014 19:00,1009.4,N,1005.4,N, 2,#
hm, 14015,07/10/2014 19:30,1009.7,N,1005.7,N, 2,#
hm, 14015,07/10/2014 20:00,1010.0,N,1006.0,N, 2,#
hm, 14015,07/10/2014 20:30,1010.4,N,1006.4,N, 2,#
hm, 14015,07/10/2014 21:00,1010.8,N,1006.8,N, 2,#
hm, 14015,07/10/2014 21:30,1011.4,N,1007.4,N, 2,#
hm, 14015,07/10/2014 22:00,1011.7,N,1007.7,N, 2,#
hm, 14015,07/10/2014 22:30,1012.1,N,1008.1,N, 2,#
hm, 14015,07/10/2014 23:00,1012.1,N,1008.1,N, 2,#
hm, 14015,07/10/2014 23:30,1012.1,N,1008.1,N, 2,#
hm, 14015,08/10/2014 00:00,1012.0,N,1008.0,N, 2,#
hm, 14015,08/10/2014 00:30,1011.8,N,1007.8,N, 2,#
hm, 14015,08/10/2014 01:00,1011.7,N,1007.7,N, 2,#
hm, 14015,08/10/2014 01:30,1011.4,N,1007.4,N, 2,#
hm, 14015,08/10/2014 02:00,1011.2,N,1007.2,N, 2,#
hm, 14015,08/10/2014 02:30,1010.7,N,1006.7,N, 2,#
hm, 14015,08/10/2014 03:00,1010.3,N,1006.3,N, 2,#
hm, 14015,08/10/2014 03:30,1010.1,N,1006.1,N, 2,#
hm, 14015,08/10/2014 04:00,1010.0,N,1006.0,N, 2,#
hm, 14015,08/10/2014 04:30,1009.9,N,1005.9,N, 2,#
hm, 14015,08/10/2014 05:00,1010.0,N,1006.0,N, 2,#
hm, 14015,08/10/2014 05:30,1010.4,N,1006.4,N, 2,#
hm, 14015,08/10/2014 06:00,1010.6,N,1006.6,N, 2,#
hm, 14015,08/10/2014 06:30,1010.6,N,1006.6,N, 2,#
hm, 14015,08/10/2014 07:00,1010.8,N,1006.8,N, 2,#
hm, 14015,08/10/2014 07:30,1010.9,N,1006.9,N, 2,#
hm, 14015,08/10/2014 08:00,1011.5,N,1007.5,N, 2,#
hm, 14015,08/10/2014 08:30,1012.0,N,1008.0,N, 2,#
hm, 14015,08/10/2014 09:00,1012.4,N,1008.4,N, 2,#
hm, 14015,08/10/2014 09:30,1012.6,N,1008.7,N, 2,#
hm, 14015,08/10/2014 10:00,1012.8,N,1008.9,N, 2,#
hm, 14015,08/10/2014 10:30,1012.8,N,1008.9,N, 2,#
hm, 14015,08/10/2014 11:00,1012.4,N,1008.5,N, 2,#
hm, 14015,08/10/2014 11:30,1012.2,N,1008.3,N, 2,#
hm, 14015,08/10/2014 12:00,1011.7,N,1007.8,N, 2,#
hm, 14015,08/10/2014 12:30,1011.3,N,1007.4,N, 2,#
hm, 14015,08/10/2014 13:00,1010.7,N,1006.8,N, 2,#
hm, 14015,08/10/2014 13:30,1010.3,N,1006.4,N, 2,#
hm, 14015,08/10/2014 14:00,1009.9,N,1006.0,N, 2,#
hm, 14015,08/10/2014 14:30,1009.4,N,1005.5,N, 2,#
hm, 14015,08/10/2014 15:00,1008.9,N,1005.0,N, 2,#
hm, 14015,08/10/2014 15:30,1008.6,N,1004.7,N, 2,#
hm, 14015,08/10/2014 16:00,1008.5,N,1004.6,N, 2,#
hm, 14015,08/10/2014 16:30,1008.4,N,1004.5,N, 2,#
hm, 14015,08/10/2014 17:00,1008.4,N,1004.5,N, 2,#
hm, 14015,08/10/2014 17:30,1008.5,N,1004.6,N, 2,#
hm, 14015,08/10/2014 18:00,1008.7,N,1004.8,N, 2,#
